id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
26685314,Bedroom minutes to Manhattan - steps to train,200621725,Brooklyn,Williamsburg,40.71215,-73.94082,Private room,69,2,70,5.79,30
26749031,Bright Bedroom Steps to train Minutes to Manhattan,200621725,Brooklyn,Williamsburg,40.7132,-73.94164,Private room,69,2,75,6.2,15
26749730,KID-friendly 2BR apartment - heart of Williamsburg,8654731,Brooklyn,Williamsburg,40.70945,-73.95843,Entire home/apt,289,30,32,3.06,60
26749932,Ju Ju Shala in Williamsburg,201142263,Brooklyn,Williamsburg,40.70761,-73.95337,Private room,130,2,8,0.68,86
26753414,Williamsburg Sizable Bedroom w/ Outdoor Space,75590434,Brooklyn,Williamsburg,40.71256,-73.95121,Private room,135,4,11,0.99,5
26756446,"Cozy bedroom mins to Manhattan, one block to train",201203968,Brooklyn,Williamsburg,40.7127,-73.94034,Private room,62,2,64,5.35,26
26770045,Beautiful Williamsburg 1BR  - Huge and Sunny,1465316,Brooklyn,Williamsburg,40.71433,-73.95679,Entire home/apt,120,7,3,0.43,230
26778845,Williamsburg apartment with roof terrace,2478942,Brooklyn,Williamsburg,40.71085,-73.96136,Private room,65,4,10,0.87,5
26780660,NEW! HUGE DESIGN LOFT w/ Rooftop in Williamsburg,2127180,Brooklyn,Williamsburg,40.71308,-73.94458,Entire home/apt,125,9,5,0.42,59
26785111,"1 BR, Williamsburg.",44492422,Brooklyn,Williamsburg,40.70918,-73.96135,Private room,73,5,1,0.12,249
26833963,Gorgeous 2bedroom in the heart of Williamsburg!,22919533,Brooklyn,Williamsburg,40.71193,-73.95956,Entire home/apt,200,3,32,3.58,141
26869767,3 BEDS LARGE ROOM GREAT FOR GROUPS - PRIME WILLYB,156484505,Brooklyn,Williamsburg,40.71216,-73.95683,Private room,115,2,50,4.21,322
26869803,1 BED and FUTON -SUNNY ROOM  - PRIME WILLIAMSBURG,156484505,Brooklyn,Williamsburg,40.7116,-73.95606,Private room,100,2,43,3.65,363
26884320,Charming Room with 2 Beds+ Laundry in Williamsburg,141204556,Brooklyn,Williamsburg,40.7109,-73.96478,Private room,109,30,43,3.72,365
26884369,Dazzling Room with 2 Beds+ Laundry in Williamsburg,141204556,Brooklyn,Williamsburg,40.71013,-73.9637,Private room,109,30,37,3.14,361
26884438,Awesome Private Room+ Laundry- Prime Williamsburg,141204841,Brooklyn,Williamsburg,40.70978,-73.96424,Private room,95,30,33,3.15,365
26884455,Beautiful Room with Laundry in Prime Williamsburg,141204841,Brooklyn,Williamsburg,40.70915,-73.96479,Private room,95,30,35,2.97,365
26893534,TRUE LOFT LIVING,202303852,Brooklyn,Williamsburg,40.70528,-73.934,Entire home/apt,250,3,7,0.71,17
26916818,Cozy bedroom with a private bathroom,126119576,Brooklyn,Williamsburg,40.71027,-73.9468,Private room,74,3,29,2.6,44
26925980,Cozy Williamsburg room,38593087,Brooklyn,Williamsburg,40.70685,-73.96663,Private room,82,1,25,2.17,64
26939323,SUNNY ROOM 1 - SHORT RIDE TO MANHATTAN!,141362117,Brooklyn,Williamsburg,40.7076,-73.93426,Private room,67,2,32,2.8,348
26939557,Bright and Cozy Room 2 -Short Ride to Manhattan :),141362117,Brooklyn,Williamsburg,40.70521,-73.93554,Private room,67,2,33,2.88,359
26947476,Sunlit Duplex LOFT 1.5BR WATERFRNT/ POOL/ GYM (5O),202757964,Brooklyn,Williamsburg,40.71771,-73.96431,Entire home/apt,185,30,2,0.32,304
26957310,Cozy Bright Room 1 Block from the L-Train,85350993,Brooklyn,Williamsburg,40.70626,-73.92921,Private room,47,13,3,0.26,88
26958190,Brooklyn [Williamsburg] Apartment,202849060,Brooklyn,Williamsburg,40.71258,-73.95764,Private room,90,21,6,0.51,38
26983743,PRIVATE ROOM- 2 BEDS BY METRO -EASY ACCESS TO CITY,141362503,Brooklyn,Williamsburg,40.70596,-73.93847,Private room,80,2,31,2.71,365
26984054,QUEEN BED - SUNNY DUPLEX BY TRAIN - 15 MIN TO CITY,141362503,Brooklyn,Williamsburg,40.70719,-73.94021,Private room,70,2,37,3.14,362
26984883,HIGH END QUEEN BED -EXPOSED BRICK IN WILLIAMSBURG,121771546,Brooklyn,Williamsburg,40.71185,-73.96292,Private room,95,2,41,3.5,365
26985201,2 BEDS - INCREDIBLE LOCATION - 1 STOP TO MANHATTAN,121771546,Brooklyn,Williamsburg,40.71153,-73.96453,Private room,110,2,49,4.14,335
26993437,BK Homestead - Private Rm in Large Apt with Deck!,56740664,Brooklyn,Williamsburg,40.71784,-73.95611,Private room,225,4,1,0.16,5
26993454,ROOF DECK+  LAUNDRY- BRICK WALLS - CLOSE TO METRO!,184090548,Brooklyn,Williamsburg,40.71294,-73.95866,Private room,95,2,25,2.19,342
26993585,2 BEDS +ROOF DECK+  LAUNDRY-  CLOSE TO METRO!,184090548,Brooklyn,Williamsburg,40.71269,-73.95815,Private room,95,2,15,1.28,335
27024787,Stunning bedroom in trendy Williamsburg!,197354631,Brooklyn,Williamsburg,40.71407,-73.93936,Private room,67,30,2,1.33,24
27025577,Stunning Private Room with a *VIEW* Prime Location,197354631,Brooklyn,Williamsburg,40.71538,-73.94148,Private room,67,30,3,0.43,23
