,id,neighbourhood,price,stay_type
449,13394,Fort Greene,80.0,1
450,13808,Bedford Stuyvesant,80.0,1
451,14287,Upper West Side,151.0,1
452,14290,Williamsburg,228.0,1
453,14314,Greenpoint,144.0,1
454,14322,Gramercy,200.0,1
455,14377,Williamsburg,150.0,1
456,14991,Lower East Side,110.0,1
457,15220,Clinton,69.0,1
458,15338,Greenpoint,49.0,1
459,15341,SoHo,180.0,1
460,15385,Williamsburg,80.0,1
461,15711,Upper East Side,250.0,1
462,16326,Prospect Heights,200.0,1
463,16338,Clinton Hill,55.0,1
464,16421,Clinton,52.0,1
465,16580,East Village,80.0,1
466,16595,Williamsburg,275.0,1
467,16821,East Village,99.0,1
468,16974,East Harlem,225.0,1
469,17037,East Village,230.0,1
470,17092,Clinton,51.0,1
471,17693,Washington Heights,65.0,1
472,17747,Clinton Hill,105.0,1
473,18127,East Village,190.0,1
474,18152,Upper East Side,200.0,1
475,18198,Woodside,70.0,1
476,18590,Fort Greene,95.0,1
477,18728,Chelsea,150.0,1
478,18764,Williamsburg,145.0,1
479,19159,Harlem,110.0,1
480,19169,Lower East Side,285.0,1
481,19282,Flatbush,130.0,1
482,19319,Lower East Side,94.0,1
483,19812,Williamsburg,105.0,1
484,20299,East Village,60.0,1
485,20611,Williamsburg,85.0,1
486,20724,Bushwick,65.0,1
487,20734,Prospect Heights,131.0,1
488,20755,Clinton Hill,98.0,1
489,20853,Prospect Heights,250.0,1
490,21293,Bushwick,105.0,1
491,21456,Upper West Side,140.0,1
492,21644,Harlem,89.0,1
493,21794,Chelsea,98.0,1
494,22911,Bedford Stuyvesant,125.0,1
495,22918,Harlem,60.0,1
496,23135,Carroll Gardens,175.0,1
497,23501,Washington Heights,65.0,1
498,24143,Williamsburg,101.0,1
499,24285,Park Slope,220.0,1
500,25235,Bedford Stuyvesant,125.0,1
501,25406,Williamsburg,80.0,1
502,25696,Harlem,100.0,1
503,26012,Gowanus,200.0,1
504,26362,Clinton,59.0,1
505,26520,Clinton Hill,125.0,1
506,26559,East Village,140.0,1
507,26785,Greenwood,120.0,1
508,26933,East Village,350.0,1
509,26954,Gramercy,199.0,1
510,26969,Williamsburg,325.0,1
511,27006,Upper West Side,235.0,1
512,27385,East Village,225.0,1
513,27531,Greenwood,99.0,1
514,27644,Harlem,170.0,1
515,27759,Upper West Side,170.0,1
516,28321,Prospect Lefferts Gardens,75.0,1
517,28396,Williamsburg,90.0,1
518,28907,Upper East Side,150.0,1
519,29012,Washington Heights,85.0,1
520,29013,Bedford Stuyvesant,70.0,1
521,29455,Harlem,120.0,1
522,29628,Clinton Hill,89.0,1
523,29683,East Village,185.0,1
524,30927,Lower East Side,105.0,1
525,31130,Clinton,130.0,1
526,31555,West Village,115.0,1
527,31902,Flatlands,77.0,1
528,31994,Clinton Hill,76.0,1
529,32023,Bedford Stuyvesant,125.0,1
530,32037,Clinton Hill,135.0,1
531,32100,Greenpoint,250.0,1
532,32289,Williamsburg,199.0,1
533,32363,Flushing,140.0,1
534,32965,Bedford Stuyvesant,115.0,1
535,32969,Williamsburg,160.0,1
536,33009,Williamsburg,195.0,1
537,33014,East Village,195.0,1
538,33223,Williamsburg,80.0,1
539,34760,Fort Greene,44.0,1
540,35526,West Village,156.0,1
541,36121,Prospect Heights,85.0,1
542,36133,Williamsburg,125.0,1
543,36442,Prospect Heights,115.0,1
544,36647,East Harlem,69.0,1
545,36703,West Village,225.0,1
546,36934,Williamsburg,125.0,1
547,38638,Upper East Side,219.0,1
548,39267,Upper East Side,99.0,1
549,39282,Williamsburg,69.0,1
550,39593,Sunnyside,79.0,1
551,39704,Bedford Stuyvesant,135.0,1
552,40039,DUMBO,250.0,1
