id,neighbourhood,price,stay_type,avgprice
4743840,West Village,258.0,1,200.29409194078949
4744487,Williamsburg,118.0,1,137.40992321323094
4745879,West Village,145.0,1,200.29409194078949
4747624,Lower East Side,155.0,1,158.55794867075664
4750486,East Harlem,75.0,1,121.45999165354331
4752659,East Village,125.0,1,159.5356283068783
4753639,Harlem,90.0,1,112.78284126547456
4753866,Harlem,125.0,1,112.78284126547456
4756297,Gramercy,199.0,1,168.1011574074074
4756551,Prospect Lefferts Gardens,89.0,1,98.17100371747212
4756578,Williamsburg,298.0,1,137.40992321323094
4759361,Washington Heights,70.0,1,91.67719002293578
4759680,Red Hook,63.0,1,117.5909090909091
4759906,Upper East Side,200.0,1,165.82365635198136
4760076,Midtown,220.0,1,245.98121224627874
4760085,Park Slope,95.0,1,156.9579831932773
4760107,Boerum Hill,127.0,1,163.14814814814815
4766284,East Harlem,73.0,1,121.45999165354331
4766618,East Harlem,52.0,1,121.45999165354331
4767748,Astoria,107.0,1,99.68881685575364
4772857,Astoria,49.0,1,99.68881685575364
4772987,Astoria,50.0,1,99.68881685575364
4774041,Bay Ridge,129.0,1,106.52380952380952
4774496,Upper East Side,185.0,1,165.82365635198136
4774924,Williamsburg,100.0,1,137.40992321323094
4775547,Bushwick,90.0,1,90.89435989256938
4776045,Bedford Stuyvesant,65.0,1,105.70102090422947
4776065,Clinton,49.0,1,165.18030573843416
4777236,Rego Park,70.0,1,93.78125
4781700,Clinton,65.0,1,165.18030573843416
4782569,Borough Park,81.0,1,73.98701298701299
4783057,Bushwick,100.0,1,90.89435989256938
4783437,Williamsburg,75.0,1,137.40992321323094
4783809,Fort Greene,175.0,1,146.19026548672565
4786675,Williamsburg,148.0,1,137.40992321323094
4787201,Bedford Stuyvesant,150.0,1,105.70102090422947
4787527,East Harlem,59.0,1,121.45999165354331
4790969,Prospect Lefferts Gardens,50.0,1,98.17100371747212
4792342,Harlem,105.0,1,112.78284126547456
4792430,Clinton Hill,75.0,1,139.83703703703705
4792529,Rockaway Beach,130.0,1,124.125
4792705,Bedford Stuyvesant,149.0,1,105.70102090422947
4794512,Greenpoint,149.0,1,136.96753246753246
4795390,Williamsbridge,43.0,1,98.57692307692308
4795485,Gowanus,145.0,1,145.79365079365078
4795857,Washington Heights,85.0,1,91.67719002293578
4796070,Midtown,275.0,1,245.98121224627874
4796255,Crown Heights,100.0,1,116.16734693877551
4798723,Midtown,105.0,1,245.98121224627874
4799839,Clinton,175.0,1,165.18030573843416
4801661,Gramercy,95.0,1,168.1011574074074
4803750,Harlem,80.0,1,112.78284126547456
4807244,Windsor Terrace,195.0,1,126.875
4808065,Midtown,125.0,1,245.98121224627874
4808239,Midtown,95.0,1,245.98121224627874
4808505,East Elmhurst,50.0,1,80.59712230215827
4808745,Midtown,85.0,1,245.98121224627874
4809346,Clinton Hill,80.0,1,139.83703703703705
4813140,Bushwick,320.0,1,90.89435989256938
4813342,Clinton,95.0,1,165.18030573843416
4813781,Upper West Side,85.0,1,164.86134589041097
4813832,Prospect Heights,79.0,1,138.7037037037037
4814810,Crown Heights,54.0,1,116.16734693877551
4815848,Hunters Point,90.0,1,117.14079422382672
4815886,Greenwood,254.0,1,135.74666666666667
4820897,Fort Greene,85.0,1,146.19026548672565
4821331,Cobble Hill,275.0,1,168.36170212765958
4822181,Upper East Side,99.0,1,165.82365635198136
4823105,Washington Heights,40.0,1,91.67719002293578
4823386,Elmhurst,165.0,1,88.88461538461539
4824310,Williamsburg,100.0,1,137.40992321323094
4824361,Williamsburg,150.0,1,137.40992321323094
4824521,Upper East Side,169.0,1,165.82365635198136
4828336,Bedford Stuyvesant,130.0,1,105.70102090422947
4830494,Harlem,99.0,1,112.78284126547456
4830799,Red Hook,99.0,1,117.5909090909091
4832126,Williamsburg,73.0,1,137.40992321323094
4833671,Harlem,80.0,1,112.78284126547456
4836986,East Harlem,80.0,1,121.45999165354331
4837865,Upper West Side,85.0,1,164.86134589041097
4838271,Bushwick,85.0,1,90.89435989256938
